"Check","Expected","Observed","Pass"
"Parent A5B execution","PASS","PASS_P1_A5B_IDENTIFICATION_DRAG_FIT_AND_SENSITIVITY_EXECUTION","True"
"Parent A5C execution","PASS","PASS_P1_A5C_LOCKED_DRAG_VALIDATION_EXECUTION","True"
"Frozen source fingerprint","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","True"
"A5B scientific classification","DRAG_SIGNAL_ROBUST_IDENTIFICATION","DRAG_SIGNAL_ROBUST_IDENTIFICATION","True"
"A5C scientific classification","DRAG_CONFIRMED_STRONG","DRAG_CONFIRMED_STRONG","True"
"Primary HD1 direction","positive in identification and validation","ID=0.00811873888856983; VAL=0.00938486969525635","True"
"Primary one-sided p","<=0.05 in identification and validation","ID=1.10427713062912E-06; VAL=2.11453192990943E-06","True"
"Required frozen sensitivity directions","all positive in identification and validation","ID=True; VAL=True","True"
"Raw drag rows re-read in A5D","0","0","True"
"Final drag adjudication","True","True","True"
