"Check","Expected","Observed","Pass"
"Parent P1-A5A status","PASS + LOCKED","PASS_P1_A5A_PROPULSION_SENSITIVE_DRAG_PREANALYSIS_FREEZE / LOCKED","True"
"Pre-analysis contract hash","A42203F238BC2100FEA30E3632C603E517FDC565A47FDA4CC4E6C5E3134126EC","A42203F238BC2100FEA30E3632C603E517FDC565A47FDA4CC4E6C5E3134126EC","True"
"Frozen source fingerprint","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","True"
"Exact longitudinal identification pairs","12","12","True"
"Primary support",">=10 represented exact pairs; >=25 rows/config/pair","True","True"
"Required-model numerical integrity","True","True","True"
"Validation drag outcomes opened","False","False","True"
"HD1 outcome","NOT AN EXECUTION PASS/FAIL TARGET","DRAG_SIGNAL_ROBUST_IDENTIFICATION; p=1.10427713062912E-06","True"
"W9 role","DESCRIPTIVE ONLY","True","True"
"Global execution integrity","True","True","True"
